id,Description,,,,,,
1,Math,,,,,,
2,Learn about vectors and explain it to 5   Math Majors students,,,,,,
3,Create Makedo Windball with   Math major seniors,,,,,,
4,Build Harmonograph using   Math equations,,,,,,
5,Play with an Eulers Disk and learn about its properties    Math department,,,,,,
6,Team up to build Sierpinski Triangle & Pyramid     Math department,,,,,,
7,Estimate Pi by Dropping Toothpicks     Math and Science department,,,,,,
8,Pencil Star project using pencils and rulers     Math department,,,,,,
9,Pi Poster visualization     Math and Data Science department,,,,,,
10,Volume By Slicing using Calculus      Math department,,,,,,
11,Building regression model using calculus     Math department ,,,,,,
12,Computer Science,,,,,,
13,Machine Learning Hackathon with   Computer Science Students,,,,,,
14,Coding sessions with us rising senior   Computer Science department,,,,,,
15,Teaching other departments   Computer Science,,,,,,
16,Experimenting with Face Detection softwares     Computer Science department,,,,,,
17,Making predictions using AI     Computer Science department,,,,,,
18,Activity publisher using Machine learnning      Computer Science department,,,,,,
19,Learning how Mobile apps are built     Computer Science department,,,,,,
20,Can you guess the programming languages     Computer Science department,,,,,,
21,Js vs Ruby   which one can you code in ? Winners to be selected     Computer Science department,,,,,,
22,Machine learning made simple      Computer Science deparment ,,,,,,
23,Music ,,,,,,
24,Guess the instrucment  in 2 minutes     Music department,,,,,,
25,Come join us to play in Guitar     Music department,,,,,,
26,Come join us to play in flute     Music department,,,,,,
27,Come join us to play in Violin     Music department,,,,,,
28,Come join us to play in Harp     Music department,,,,,,
29,Come join us to play in Gong     Music department,,,,,,
30,Come join us to play in Tuba     Music department,,,,,,
31,Come join us to play in Cymbal     Music department,,,,,,
32,Come join us to play in Piano     Music department,,,,,,
33,Come join us to play in Clarinet     Music department,,,,,,
34,Biology,,,,,,
35,Dissect A Flower with a Senior majoring in Bio     Biology department,,,,,,
36,Let s extract some DNA     Biology department,,,,,,
37,Cell Bio Quiz   winners will win prizes     Biology department,,,,,,
38,Can you grow tomato home? Let s find out     Biology department,,,,,,
39,Effect of Sugar on Bean Plant Growth    Biology department,,,,,,
40,Does the Color of Light Affect Plant Growth    Biology department,,,,,,
41,Is Spinach Made in the Shade    Biology department,,,,,,
42,The Speed of Sprouting Seeds    Biology department,,,,,,
43,Investigating Seed Tolerance for Freezing Temperatures    Biology department,,,,,,
44,Fun with Phosphorus    Biology department,,,,,,
45,Religion,,,,,,
46,Can you tell my   Religion from my dress    Religion department,,,,,,
47,Islam session activity     Religion department,,,,,,
48,Christianity  session activity     Religion department,,,,,,
